USA,China,Japan,India,Brazil,Canada,Mexico,South Korea,Germany,UK,Australia,Switzerland,Hong Kong,Singapore,Taiwan,Italy,Spain,Date
32.727176666259766,15.227150917053223,23.14937973022461,23.62676429748535,14.614850044250488,21.963027954101562,40.44504928588867,25.43157958984375,26.307540893554688,16.913230895996094,17.271032333374023,26.65530014038086,52.736793518066406,51.557838439941406,26.83347511291504,20.793067932128906,38.62594985961914,2014-01-02 00:00:00+00:00
32.76043701171875,15.37828540802002,23.13339614868164,23.5499324798584,14.414058685302734,22.034658432006836,40.682167053222656,25.684234619140625,26.20927619934082,16.795774459838867,17.209566116333008,26.668228149414062,52.712852478027344,51.23999786376953,26.982582092285156,21.242595672607422,38.254554748535156,2014-01-03 00:00:00+00:00
32.65233612060547,15.327910423278809,22.98151397705078,23.665180206298828,14.435568809509277,22.235240936279297,40.546669006347656,25.676342010498047,26.581287384033203,16.67832374572754,17.012889862060547,26.60359001159668,52.14656448364258,50.83014678955078,26.665719985961914,21.136823654174805,37.676815032958984,2014-01-06 00:00:00+00:00
32.83527374267578,15.302722930908203,22.893585205078125,23.74970245361328,14.550308227539062,22.536102294921875,40.716041564941406,25.700023651123047,27.353389739990234,16.70442771911621,17.12352180480957,26.707006454467773,52.728816986083984,51.02252197265625,26.665719985961914,21.083940505981445,37.693321228027344,2014-01-07 00:00:00+00:00
32.81863784790039,15.208263397216797,22.877599716186523,23.68054962158203,14.629191398620605,22.364181518554688,40.78379440307617,25.66844367980957,27.6341495513916,16.782724380493164,17.12352180480957,26.65530014038086,51.98705291748047,50.796688079833984,26.410993576049805,21.1456356048584,38.089481353759766,2014-01-08 00:00:00+00:00
32.81863784790039,15.183069229125977,22.81365203857422,23.62676429748535,14.54313850402832,22.57908058166504,40.648292541503906,25.810562133789062,27.655200958251953,16.782724380493164,17.037471771240234,26.61651611328125,52.218353271484375,50.621036529541016,26.081716537475586,21.11037826538086,37.569515228271484,2014-01-09 00:00:00+00:00
32.91009521484375,15.334209442138672,22.917566299438477,23.857271194458008,14.657876968383789,22.808307647705078,40.919281005859375,26.079011917114258,28.020198822021484,16.887128829956055,17.246448516845703,26.849199295043945,53.50247573852539,50.72140884399414,26.522830963134766,21.568727493286133,38.213279724121094,2014-01-10 00:00:00+00:00
32.4444694519043,15.258638381958008,22.893585205078125,23.703601837158203,14.442736625671387,22.464462280273438,40.648292541503906,26.015846252441406,27.87982177734375,16.71747398376465,17.086641311645508,26.513097763061523,52.92821502685547,50.612674713134766,26.249460220336914,21.533466339111328,37.553016662597656,2014-01-13 00:00:00+00:00
32.71054458618164,15.057122230529785,22.74170684814453,24.049358367919922,14.614850044250488,22.8226375579834,40.546669006347656,26.157970428466797,28.25183868408203,16.691373825073242,17.246448516845703,26.887985229492188,53.15153503417969,50.93051528930664,26.504188537597656,21.824338912963867,38.072975158691406,2014-01-14 00:00:00+00:00
33.04313659667969,15.050827980041504,22.845623016357422,24.3720645904541,14.54313850402832,23.16648292541504,40.851539611816406,26.055326461791992,28.679994583129883,16.67832374572754,17.38166618347168,26.96554946899414,52.920230865478516,50.838504791259766,26.504188537597656,21.97418975830078,37.998687744140625,2014-01-15 00:00:00+00:00
32.95167922973633,15.019339561462402,22.97351837158203,24.333646774291992,14.557479858398438,23.080522537231445,40.716041564941406,26.205339431762695,28.413265228271484,16.66527557373047,17.418540954589844,26.978469848632812,52.28215789794922,50.81341552734375,26.330232620239258,21.894861221313477,37.767601013183594,2014-01-16 00:00:00+00:00
32.92673110961914,14.93117618560791,22.965524673461914,24.118507385253906,14.779788970947266,22.9372501373291,40.81766128540039,26.000057220458984,28.097408294677734,16.57392120361328,17.332494735717773,26.978469848632812,51.97907257080078,50.51229476928711,26.224611282348633,21.595169067382812,37.767601013183594,2014-01-17 00:00:00+00:00
32.943355560302734,15.03193187713623,23.09342384338379,24.25681495666504,14.672215461730957,23.13782501220703,40.885406494140625,26.142179489135742,28.013174057006836,16.456466674804688,17.283327102661133,27.224082946777344,51.660037994384766,50.59593963623047,25.94502830505371,21.568727493286133,37.72633743286133,2014-01-21 00:00:00+00:00
33.00987243652344,15.044525146484375,22.941545486450195,24.187658309936523,14.636363983154297,23.051864624023438,40.98703384399414,26.102699279785156,27.746456146240234,16.547815322875977,17.418540954589844,27.353349685668945,51.87538528442383,50.86360168457031,26.249460220336914,21.83315658569336,38.46089172363281,2014-01-22 00:00:00+00:00
32.685611724853516,14.748547554016113,22.86161231994629,24.2337646484375,14.256291389465332,23.080522537231445,40.174068450927734,26.24481773376465,27.90789031982422,16.286815643310547,17.160398483276367,27.21115493774414,50.9501838684082,49.64240264892578,25.590892791748047,21.524656295776367,37.12383270263672,2014-01-23 00:00:00+00:00
32.145137786865234,14.42738151550293,22.50189971923828,23.450042724609375,13.955098152160645,22.364181518554688,39.56434631347656,25.65265655517578,26.693593978881836,15.986658096313477,17.025177001953125,26.31920051574707,49.93724060058594,48.21210861206055,24.832923889160156,20.82832145690918,36.05088424682617,2014-01-24 00:00:00+00:00
32.02872085571289,14.490355491638184,22.174165725708008,23.373210906982422,13.904903411865234,22.321197509765625,39.05624008178711,25.328935623168945,26.47600555419922,15.986658096313477,16.74245262145996,26.125295639038086,50.13663864135742,48.63031768798828,24.845352172851562,20.537446975708008,35.93534851074219,2014-01-27 00:00:00+00:00
32.020408630371094,14.597410202026367,22.302061080932617,23.665180206298828,13.947932243347168,22.765331268310547,39.39496994018555,25.621074676513672,27.016468048095703,16.286815643310547,16.86537742614746,26.306272506713867,50.37592315673828,49.11545181274414,24.88262367248535,20.71373176574707,36.29848861694336,2014-01-28 00:00:00+00:00
31.770954132080078,14.446274757385254,22.174165725708008,23.242591857910156,13.696939468383789,22.421483993530273,39.36110305786133,25.37630844116211,26.714645385742188,15.869203567504883,16.570356369018555,25.970172882080078,49.945213317871094,48.94816207885742,24.360742568969727,20.317089080810547,36.17469024658203,2014-01-29 00:00:00+00:00
32.095245361328125,14.666683197021484,22.342029571533203,23.350156784057617,13.75430965423584,22.507444381713867,39.42884826660156,25.51053237915039,27.07261848449707,16.064960479736328,16.60723304748535,26.034807205200195,50.33604431152344,49.291099548339844,24.62789535522461,20.748992919921875,36.257232666015625,2014-01-30 00:00:00+00:00
31.94556999206543,14.509245872497559,22.3260440826416,22.919883728027344,13.711280822753906,22.26388931274414,38.37877655029297,25.265769958496094,26.588308334350586,15.94750690460205,16.680988311767578,25.73748779296875,50.160560607910156,49.38311004638672,24.379383087158203,20.599149703979492,36.24072265625,2014-01-31 00:00:00+00:00
